         788351 function calls (782314 primitive calls) in 19.808 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.018    0.018 /usr/lib/python3/dist-packages/numpy/compat/py3k.py:1(<module>)
        1    0.001    0.001    0.018    0.018 /usr/lib/python3/dist-packages/numpy/core/numeric.py:1(<module>)
        1    0.000    0.000    0.018    0.018 /usr/lib/python3/dist-packages/numpy/ma/__init__.py:1(<module>)
      408    0.011    0.000    0.016    0.000 /usr/lib/python3.11/enum.py:237(__set_name__)
        1    0.000    0.000    0.016    0.016 /usr/lib/python3.11/pathlib.py:1(<module>)
        1    0.000    0.000    0.015    0.015 /home/pi/Lightshow/git/shared/command_queue.py:215(get_instance)
        1    0.000    0.000    0.015    0.015 /home/pi/Lightshow/git/shared/command_queue.py:10(__init__)
        1    0.000    0.000    0.015    0.015 /usr/lib/python3.11/multiprocessing/context.py:100(Queue)
     1920    0.014    0.000    0.015    0.000 /home/pi/Lightshow/git/pixil_utils/array_manager.py:25(__getitem__)
      218    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
       48    0.000    0.000    0.015    0.000 /usr/lib/python3.11/re/_compiler.py:571(_code)
        1    0.000    0.000    0.014    0.014 /usr/lib/python3.11/secrets.py:1(<module>)
     3456    0.013    0.000    0.013    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.013    0.013 /usr/lib/python3.11/logging/__init__.py:1(<module>)
      809    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.012    0.012 /usr/lib/python3.11/multiprocessing/queues.py:1(<module>)
    36293    0.012    0.000    0.012    0.000 {method 'strip' of 'str' objects}
     6176    0.007    0.000    0.012    0.000 /home/pi/Lightshow/git/Pixil.py:490(process_sprite_operation)
        1    0.000    0.000    0.012    0.012 /usr/lib/python3.11/socket.py:1(<module>)
     6176    0.007    0.000    0.012    0.000 /home/pi/Lightshow/git/Pixil.py:436(process_sprite_definition)
     4183    0.008    0.000    0.011    0.000 /home/pi/Lightshow/git/pixil_utils/math_functions.py:204(process_array_accesses)
   322/48    0.004    0.000    0.011    0.000 /usr/lib/python3.11/re/_compiler.py:37(_compile)
        1    0.000    0.000    0.011    0.011 /usr/lib/python3/dist-packages/numpy/matrixlib/__init__.py:1(<module>)
      284    0.002    0.000    0.011    0.000 /usr/lib/python3/dist-packages/numpy/core/overrides.py:88(verify_matching_signatures)
      809    0.011    0.000    0.011    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.011    0.011 /usr/lib/python3/dist-packages/numpy/polynomial/__init__.py:1(<module>)
      177    0.000    0.000    0.011    0.000 /home/pi/Lightshow/git/shared/command_queue.py:146(is_empty)
      177    0.000    0.000    0.011    0.000 /usr/lib/python3.11/multiprocessing/queues.py:128(empty)
     1811    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      177    0.000    0.000    0.010    0.000 /usr/lib/python3.11/multiprocessing/connection.py:252(poll)
        1    0.000    0.000    0.010    0.010 /usr/lib/python3/dist-packages/numpy/matrixlib/defmatrix.py:1(<module>)
     1040    0.003    0.000    0.010    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.010    0.010 /usr/lib/python3/dist-packages/numpy/core/shape_base.py:1(<module>)
        1    0.000    0.000    0.010    0.010 /usr/lib/python3/dist-packages/numpy/core/_internal.py:1(<module>)
      342    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
        7    0.000    0.000    0.010    0.001 /usr/lib/python3.11/enum.py:896(_convert_)
      468    0.005    0.000    0.010    0.000 /usr/lib/python3.11/enum.py:356(__setitem__)
        1    0.000    0.000    0.010    0.010 /usr/lib/python3/dist-packages/numpy/version.py:1(<module>)
     1147    0.003    0.000    0.010    0.000 /usr/lib/python3.11/re/__init__.py:163(match)
      177    0.001    0.000    0.010    0.000 /usr/lib/python3.11/multiprocessing/connection.py:422(_poll)
        1    0.000    0.000    0.010    0.010 /usr/lib/python3.11/multiprocessing/connection.py:1(<module>)
      171    0.009    0.000    0.009    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.009    0.009 /usr/lib/python3.11/hmac.py:1(<module>)
        1    0.000    0.000    0.009    0.009 /usr/lib/python3/dist-packages/numpy/linalg/__init__.py:1(<module>)
      177    0.002    0.000    0.009    0.000 /usr/lib/python3.11/multiprocessing/connection.py:916(wait)
        1    0.000    0.000    0.009    0.009 /usr/lib/python3.11/tempfile.py:1(<module>)
      618    0.002    0.000    0.009    0.000 /usr/lib/python3/dist-packages/numpy/compat/_inspect.py:96(getargspec)
        1    0.000    0.000    0.008    0.008 /home/pi/Lightshow/git/pixil_utils/cli.py:1(<module>)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3.11/urllib/parse.py:1(<module>)
      367    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:392(cached)
        1    0.001    0.001    0.008    0.008 /usr/lib/python3/dist-packages/numpy/ma/core.py:1(<module>)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:1(<module>)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3/dist-packages/numpy/lib/utils.py:1(<module>)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3/dist-packages/numpy/_version.py:1(<module>)
      317    0.002    0.000    0.008    0.000 /usr/lib/python3/dist-packages/numpy/core/function_base.py:483(add_newdoc)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3.11/multiprocessing/util.py:1(<module>)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3/dist-packages/numpy/linalg/linalg.py:1(<module>)
      171    0.008    0.000    0.008    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.008    0.008 /usr/lib/python3/dist-packages/numpy/core/_add_newdocs.py:1(<module>)
      196    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
     4191    0.007    0.000    0.007    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.007    0.007 /usr/lib/python3.11/json/__init__.py:1(<module>)
     4160    0.005    0.000    0.007    0.000 /home/pi/Lightshow/git/pixil_utils/parameter_types.py:265(<genexpr>)
      237    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:169(__enter__)
     2080    0.005    0.000    0.007    0.000 /home/pi/Lightshow/git/pixil_utils/parameter_types.py:208(convert_to_type)
        1    0.000    0.000    0.007    0.007 /usr/lib/python3.11/shutil.py:1(<module>)
     1062    0.004    0.000    0.007    0.000 /home/pi/Lightshow/git/shared/command_queue.py:67(_calculate_delay)
     5144    0.007    0.000    0.007    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.007    0.007 /usr/lib/python3.11/argparse.py:1(<module>)
